DATA: 4410 x 9
Ep!
Feature 0
-0.226696	rho[0][3]
0.202696	rho[0][2]
-0.187573	rho[0][1]
0.176902	rho[0][7]
0.129945	rho[0][4]
-0.101251	rho[0][5]
-0.0767127	rho[0][8]
0.0476898	rho[0][6]

Feature 1
-0.826875	rho[1][2]
0.784053	rho[1][3]
-0.626295	rho[1][4]
0.555987	rho[1][5]
-0.230813	rho[1][6]
0.229984	rho[1][7]
-0.187573	rho[1][0]
0.103984	rho[1][8]

Feature 2
-0.874552	rho[2][3]
0.841316	rho[2][4]
-0.826875	rho[2][1]
-0.709247	rho[2][5]
0.446486	rho[2][6]
-0.347739	rho[2][7]
0.202696	rho[2][0]
0.037831	rho[2][8]

Feature 3
-0.893957	rho[3][4]
-0.874552	rho[3][2]
0.842547	rho[3][5]
0.784053	rho[3][1]
-0.621887	rho[3][6]
0.449832	rho[3][7]
-0.226696	rho[3][0]
-0.105937	rho[3][8]

Feature 4
-0.933184	rho[4][5]
-0.893957	rho[4][3]
0.841316	rho[4][2]
0.762188	rho[4][6]
-0.626295	rho[4][1]
-0.615197	rho[4][7]
0.298372	rho[4][8]
0.129945	rho[4][0]

Feature 5
-0.933184	rho[5][4]
-0.863789	rho[5][6]
0.842547	rho[5][3]
0.723795	rho[5][7]
-0.709247	rho[5][2]
0.555987	rho[5][1]
-0.415322	rho[5][8]
-0.101251	rho[5][0]

Feature 6
-0.863789	rho[6][5]
-0.82944	rho[6][7]
0.762188	rho[6][4]
-0.621887	rho[6][3]
0.556834	rho[6][8]
0.446486	rho[6][2]
-0.230813	rho[6][1]
0.0476898	rho[6][0]

Feature 7
-0.82944	rho[7][6]
0.723795	rho[7][5]
-0.70435	rho[7][8]
-0.615197	rho[7][4]
0.449832	rho[7][3]
-0.347739	rho[7][2]
0.229984	rho[7][1]
0.176902	rho[7][0]

Feature 8
-0.70435	rho[8][7]
0.556834	rho[8][6]
-0.415322	rho[8][5]
0.298372	rho[8][4]
-0.105937	rho[8][3]
0.103984	rho[8][1]
-0.0767127	rho[8][0]
0.037831	rho[8][2]

