DATA: 4410 x 13
Ep!
Feature 0
-0.522264	rho[0][8]
-0.418511	rho[0][5]
-0.315284	rho[0][9]
-0.3115	rho[0][7]
0.240838	rho[0][1]
0.177905	rho[0][3]
0.169228	rho[0][12]
-0.163947	rho[0][10]
-0.0702617	rho[0][4]
-0.0522491	rho[0][11]
0.0169304	rho[0][2]
6.11827e-05	rho[0][6]

Feature 1
-0.569489	rho[1][9]
0.384259	rho[1][6]
-0.384065	rho[1][5]
0.240838	rho[1][0]
0.203372	rho[1][3]
-0.190316	rho[1][8]
-0.171955	rho[1][10]
0.135367	rho[1][7]
-0.103666	rho[1][4]
-0.0879505	rho[1][11]
0.0216668	rho[1][12]
-0.00763034	rho[1][2]

Feature 2
-0.254863	rho[2][12]
-0.248719	rho[2][10]
-0.196873	rho[2][11]
0.147184	rho[2][3]
-0.111609	rho[2][9]
0.111181	rho[2][7]
0.0388552	rho[2][6]
0.030167	rho[2][5]
-0.0282988	rho[2][8]
0.0169304	rho[2][0]
0.0142903	rho[2][4]
-0.00763034	rho[2][1]

Feature 3
-0.555422	rho[3][11]
0.452935	rho[3][4]
-0.421419	rho[3][12]
-0.375487	rho[3][10]
0.203372	rho[3][1]
-0.191899	rho[3][9]
0.177905	rho[3][0]
0.167771	rho[3][6]
0.147184	rho[3][2]
-0.137634	rho[3][5]
0.0108191	rho[3][7]
0.00401143	rho[3][8]

Feature 4
-0.473564	rho[4][12]
0.452935	rho[4][3]
-0.287789	rho[4][11]
0.255595	rho[4][5]
-0.202128	rho[4][6]
-0.139194	rho[4][7]
-0.103666	rho[4][1]
0.0776598	rho[4][9]
-0.0702617	rho[4][0]
-0.069847	rho[4][10]
0.0391749	rho[4][8]
0.0142903	rho[4][2]

Feature 5
-0.418511	rho[5][0]
-0.384065	rho[5][1]
0.255595	rho[5][4]
0.204591	rho[5][9]
-0.163304	rho[5][7]
0.161121	rho[5][8]
-0.137634	rho[5][3]
0.10364	rho[5][10]
-0.0776674	rho[5][12]
0.0562399	rho[5][11]
-0.0519799	rho[5][6]
0.030167	rho[5][2]

Feature 6
0.384259	rho[6][1]
-0.340804	rho[6][9]
0.302309	rho[6][7]
-0.298333	rho[6][8]
-0.202128	rho[6][4]
0.167771	rho[6][3]
-0.109341	rho[6][10]
0.0739227	rho[6][12]
-0.0519799	rho[6][5]
0.0388552	rho[6][2]
-0.0198555	rho[6][11]
6.11827e-05	rho[6][0]

Feature 7
0.349869	rho[7][8]
-0.334022	rho[7][9]
-0.3115	rho[7][0]
0.302309	rho[7][6]
-0.163304	rho[7][5]
-0.15067	rho[7][10]
-0.139194	rho[7][4]
0.135367	rho[7][1]
-0.128944	rho[7][12]
0.111181	rho[7][2]
0.0382015	rho[7][11]
0.0108191	rho[7][3]

Feature 8
-0.522264	rho[8][0]
0.349869	rho[8][7]
-0.298333	rho[8][6]
-0.263621	rho[8][10]
0.236993	rho[8][9]
-0.190316	rho[8][1]
0.161121	rho[8][5]
-0.128373	rho[8][11]
-0.127217	rho[8][12]
0.0391749	rho[8][4]
-0.0282988	rho[8][2]
0.00401143	rho[8][3]

Feature 9
-0.569489	rho[9][1]
0.361079	rho[9][10]
-0.340804	rho[9][6]
-0.334022	rho[9][7]
-0.315284	rho[9][0]
0.236993	rho[9][8]
0.204591	rho[9][5]
-0.191899	rho[9][3]
-0.111609	rho[9][2]
0.0776598	rho[9][4]
-0.0414591	rho[9][11]
-0.0296696	rho[9][12]

Feature 10
0.522882	rho[10][11]
-0.375487	rho[10][3]
0.361079	rho[10][9]
-0.263621	rho[10][8]
-0.248719	rho[10][2]
-0.171955	rho[10][1]
-0.163947	rho[10][0]
-0.15067	rho[10][7]
-0.109341	rho[10][6]
0.10364	rho[10][5]
-0.069847	rho[10][4]
0.03115	rho[10][12]

Feature 11
-0.555422	rho[11][3]
0.522882	rho[11][10]
0.475542	rho[11][12]
-0.287789	rho[11][4]
-0.196873	rho[11][2]
-0.128373	rho[11][8]
-0.0879505	rho[11][1]
0.0562399	rho[11][5]
-0.0522491	rho[11][0]
-0.0414591	rho[11][9]
0.0382015	rho[11][7]
-0.0198555	rho[11][6]

Feature 12
0.475542	rho[12][11]
-0.473564	rho[12][4]
-0.421419	rho[12][3]
-0.254863	rho[12][2]
0.169228	rho[12][0]
-0.128944	rho[12][7]
-0.127217	rho[12][8]
-0.0776674	rho[12][5]
0.0739227	rho[12][6]
0.03115	rho[12][10]
-0.0296696	rho[12][9]
0.0216668	rho[12][1]

