DATA: 4410 x 13
Ep!
Feature 0
-0.511038	rho[0][5]
-0.399313	rho[0][8]
-0.279311	rho[0][3]
-0.242098	rho[0][11]
-0.221643	rho[0][10]
0.114101	rho[0][2]
0.097183	rho[0][9]
-0.0767023	rho[0][1]
0.0447427	rho[0][4]
0.0337873	rho[0][6]
-0.00962051	rho[0][12]
-0.00370994	rho[0][7]

Feature 1
-0.341063	rho[1][6]
0.326822	rho[1][8]
-0.212826	rho[1][12]
-0.212388	rho[1][3]
0.158871	rho[1][2]
-0.154748	rho[1][4]
-0.132839	rho[1][5]
-0.132464	rho[1][11]
-0.0767023	rho[1][0]
0.0757758	rho[1][7]
-0.0431931	rho[1][9]
-0.0219287	rho[1][10]

Feature 2
-0.210605	rho[2][3]
-0.181009	rho[2][6]
0.158871	rho[2][1]
-0.13105	rho[2][5]
0.114101	rho[2][0]
-0.110047	rho[2][7]
-0.0959291	rho[2][11]
-0.0599973	rho[2][8]
-0.0588572	rho[2][12]
0.0587011	rho[2][4]
0.00252264	rho[2][9]
0.00126069	rho[2][10]

Feature 3
-0.279311	rho[3][0]
0.261699	rho[3][10]
-0.212388	rho[3][1]
-0.210605	rho[3][2]
0.191008	rho[3][5]
-0.124908	rho[3][9]
0.111874	rho[3][12]
0.0892615	rho[3][6]
-0.0490577	rho[3][4]
-0.0215241	rho[3][7]
0.017527	rho[3][11]
0.000549515	rho[3][8]

Feature 4
-0.154748	rho[4][1]
-0.140123	rho[4][5]
-0.134688	rho[4][6]
-0.132892	rho[4][8]
0.0587011	rho[4][2]
0.0557345	rho[4][10]
-0.0490577	rho[4][3]
-0.0449448	rho[4][7]
0.0447427	rho[4][0]
-0.0286344	rho[4][9]
0.0113706	rho[4][12]
-7.20528e-05	rho[4][11]

Feature 5
-0.511038	rho[5][0]
0.23745	rho[5][8]
-0.225448	rho[5][7]
0.204658	rho[5][11]
0.191008	rho[5][3]
-0.140123	rho[5][4]
-0.132839	rho[5][1]
-0.13105	rho[5][2]
-0.098545	rho[5][9]
0.076302	rho[5][12]
-0.0352065	rho[5][10]
-0.0128364	rho[5][6]

Feature 6
-0.341063	rho[6][1]
-0.181009	rho[6][2]
-0.173819	rho[6][8]
-0.15125	rho[6][7]
-0.134688	rho[6][4]
0.103585	rho[6][9]
0.0892615	rho[6][3]
-0.083928	rho[6][10]
0.0337873	rho[6][0]
0.0246129	rho[6][11]
-0.0128364	rho[6][5]
-0.00900618	rho[6][12]

Feature 7
-0.225448	rho[7][5]
-0.15125	rho[7][6]
-0.110047	rho[7][2]
-0.0769618	rho[7][11]
0.0757758	rho[7][1]
-0.073481	rho[7][9]
0.0657061	rho[7][10]
0.062708	rho[7][8]
-0.0449448	rho[7][4]
-0.0343642	rho[7][12]
-0.0215241	rho[7][3]
-0.00370994	rho[7][0]

Feature 8
-0.399313	rho[8][0]
0.326822	rho[8][1]
0.23745	rho[8][5]
-0.173819	rho[8][6]
-0.137766	rho[8][9]
-0.132892	rho[8][4]
0.119291	rho[8][11]
-0.110714	rho[8][12]
0.0859235	rho[8][10]
0.062708	rho[8][7]
-0.0599973	rho[8][2]
0.000549515	rho[8][3]

Feature 9
-0.151461	rho[9][10]
-0.137766	rho[9][8]
-0.124908	rho[9][3]
0.103585	rho[9][6]
-0.098545	rho[9][5]
0.097183	rho[9][0]
-0.073481	rho[9][7]
-0.0431931	rho[9][1]
-0.0286344	rho[9][4]
0.0269669	rho[9][12]
-0.0232638	rho[9][11]
0.00252264	rho[9][2]

Feature 10
0.261699	rho[10][3]
-0.221643	rho[10][0]
-0.151461	rho[10][9]
0.0859235	rho[10][8]
-0.083928	rho[10][6]
0.0697226	rho[10][12]
0.0657061	rho[10][7]
0.0557345	rho[10][4]
-0.0352065	rho[10][5]
-0.0243494	rho[10][11]
-0.0219287	rho[10][1]
0.00126069	rho[10][2]

Feature 11
-0.242098	rho[11][0]
0.204658	rho[11][5]
-0.132464	rho[11][1]
0.119291	rho[11][8]
-0.0959291	rho[11][2]
-0.0886542	rho[11][12]
-0.0769618	rho[11][7]
0.0246129	rho[11][6]
-0.0243494	rho[11][10]
-0.0232638	rho[11][9]
0.017527	rho[11][3]
-7.20528e-05	rho[11][4]

Feature 12
-0.212826	rho[12][1]
0.111874	rho[12][3]
-0.110714	rho[12][8]
-0.0886542	rho[12][11]
0.076302	rho[12][5]
0.0697226	rho[12][10]
-0.0588572	rho[12][2]
-0.0343642	rho[12][7]
0.0269669	rho[12][9]
0.0113706	rho[12][4]
-0.00962051	rho[12][0]
-0.00900618	rho[12][6]

